feature,importance
ENSG00000142515.15,0.15088475
ENSG00000131400.8,0.140042
ENSG00000167751.13,0.10197987
ENSG00000159184.8,0.09796745
ENSG00000168878.19,0.068848744
ENSG00000110484.7,0.04672402
ENSG00000167749.11,0.04522083
ENSG00000185303.17,0.04152685
ENSG00000196260.5,0.031099977
ENSG00000158715.6,0.029168194
ENSG00000107485.18,0.018866763
ENSG00000198074.10,0.011321273
ENSG00000122852.15,0.011270486
ENSG00000131171.13,0.010791299
ENSG00000130513.6,0.010064707
ENSG00000135052.16,0.008574533
ENSG00000096088.16,0.008494934
ENSG00000184012.13,0.008025828
ENSG00000129824.16,0.0067948336
ENSG00000167332.9,0.0063415878
ENSG00000159182.5,0.00538119
ENSG00000113739.10,0.005150815
ENSG00000089220.5,0.0049146605
ENSG00000109472.14,0.0048538474
ENSG00000114854.8,0.0038087128
ENSG00000014257.16,0.0037586489
ENSG00000167526.14,0.003548097
ENSG00000168484.12,0.0035321354
ENSG00000173467.9,0.0035309792
ENSG00000113140.11,0.0027968925
ENSG00000160862.13,0.0027083515
ENSG00000157765.13,0.0025476012
ENSG00000164919.11,0.0024303473
ENSG00000087086.15,0.0023777578
ENSG00000172551.11,0.0021470576
ENSG00000167034.10,0.0021101956
ENSG00000111341.10,0.0020003114
ENSG00000147604.14,0.0019170458
ENSG00000171345.13,0.0018934242
ENSG00000084207.18,0.0018627503
ENSG00000105825.14,0.0018402407
ENSG00000275385.2,0.00183343
ENSG00000104879.5,0.0017957314
ENSG00000246705.4,0.0017751135
ENSG00000176153.12,0.0017491932
ENSG00000197747.9,0.0017080841
ENSG00000185885.16,0.0016221683
ENSG00000260260.1,0.0015791656
ENSG00000198727.2,0.0015064729
ENSG00000196154.12,0.0014999371
ENSG00000167658.16,0.00149951
ENSG00000161634.12,0.0014882691
ENSG00000141753.7,0.0014704516
ENSG00000171560.16,0.0014662492
ENSG00000141424.13,0.0014586478
ENSG00000181617.6,0.0014317425
ENSG00000102265.12,0.0014271331
ENSG00000106153.13,0.0013763651
ENSG00000153002.12,0.0012975895
ENSG00000102316.17,0.0012843035
ENSG00000107018.8,0.0012379843
ENSG00000124935.4,0.0012191285
ENSG00000176907.5,0.001182615
ENSG00000157005.4,0.0011493996
ENSG00000106541.12,0.0011421139
